date,h2,delta_alpha,kappa1,S_nta
2017-07-07,0.9238829088510964,0.620324043233552,0.0812095799945105,0.0866411693430911
2017-07-08,0.928843294845184,0.5820815400677617,0.0812069380765286,0.086549853957126
2017-07-09,0.9290331693361112,0.5079594023679839,0.0812918650132124,0.0866333872395307
2017-07-10,0.9305495188381797,0.49043351909214294,0.0814178399229886,0.0867725792779849
2017-07-11,0.9405709497807996,0.5213490650527746,0.0815697601429966,0.0869764565991613
2017-07-12,0.9394201253069888,0.6070339569331367,0.0817150102038403,0.0871872653872766
2017-07-13,0.9437099391627795,0.6362398327150629,0.0818691488136018,0.0874413098361231
2017-07-14,0.9417614514968223,0.6811067074272614,0.0820647904125337,0.0877878028509238
2017-07-15,0.9370621302579636,0.6109771564954478,0.0822276329960955,0.0879129339353411
2017-07-16,0.9428163517607081,0.6081474638874482,0.0824352536158712,0.0882984905244241
2017-07-17,0.948036629089391,0.5493029730642967,0.0825989134068995,0.088570652453511
2017-07-18,0.9559227223233334,0.5320886529795779,0.0827255728201057,0.0887922815817306
2017-07-19,0.9698688031084389,0.5754683709902473,0.0828335086080436,0.0889495882558473
2017-07-20,0.9679043285354213,0.5999216718751725,0.0829138433321181,0.0890472373965707
2017-07-21,0.96757951869355,0.6221518358022102,0.0830835874349406,0.0893342509805126
2017-07-22,0.9674438160969736,0.7147040243628204,0.0833136861828064,0.0897756843634472
2017-07-23,0.9611943391827604,0.6269544170570747,0.0834644158762967,0.0900423543594844
2017-07-24,0.9650351392223188,0.5886004926025095,0.0835732599214187,0.0902056249406957
2017-07-25,0.9633151370974525,0.5017557337998895,0.0836790964249774,0.0903498796028086
2017-07-26,0.963092190445967,0.48376220904076206,0.0837838999563192,0.0904666909601714
2017-07-27,0.9683122368897691,0.5209182072264973,0.083874640537487,0.0905728052956885
2017-07-28,0.9666908341829631,0.608601387406793,0.0839789501730753,0.0907248504500888
2017-07-29,0.9675135509013084,0.644423652912149,0.0840515934568565,0.0908263934651222
2017-07-30,0.9656439768553755,0.694827933596379,0.0841094989258244,0.0908904681232337
2017-07-31,0.9569414637641211,0.6185630240388207,0.0841336362554475,0.0909096566289908
